session_id,date,subject,subject_b,device_mode,metric,electrode,roles,run,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,clean_switch,is_blink,latency_ms,mean_cmd_lin,moving_time_ratio,speed_active,mean_alpha,mean_tbr,mean_ei,blink_count
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,11,rest,rest,left,0.0,0.5,1,,0,0.840333,0.0,0.0,0,144.812306,20.078287,0.077355,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,12,attention,rest,left,0.030034,0.5,1,,0,0.845564,0.006007,0.128205,1,25.029744,5.300281,0.208781,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,13,rest,rest,left,0.0,0.5,1,,0,0.856786,0.0,0.0,0,368.368303,27.048049,0.099308,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,14,attention,rest,left,0.150366,0.505225,1,,0,0.899738,0.030073,0.380952,1,29.478528,4.753994,0.245947,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,15,rest,rest,left,0.0,0.5,1,,0,0.852205,0.0,0.0,0,21785.912103,53.563174,0.059161,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,16,attention,rest,left,0.315205,0.538479,1,,0,0.903154,0.063041,0.487179,1,32.109348,5.864349,0.356363,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,17,rest,rest,left,0.0,0.5,1,,0,0.8599,0.0,0.0,0,175.091695,17.506419,0.112841,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,18,attention,rest,left,0.312654,0.522875,1,,0,0.817333,0.062531,0.619048,1,24.302135,4.059617,0.368876,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,19,rest,rest,left,0.0,0.5,1,,0,0.878513,0.0,0.0,0,414.46206,22.032463,0.065983,0.0
G_s3_alpha_single_2026-08-19_1787150186,2026-08-19,G,,single,alpha,,steering,1,0,rest,attention,left,0.824086,0.642582,-1,1,1,0.828524,,,,525.186872,8.371279,0.249465,1.0
G_s3_alpha_single_2026-08-19_1787150186,2026-08-19,G,,single,alpha,,steering,1,1,rest,rest,right,0.200024,0.503282,-1,,0,0.840762,,,,45.006328,15.921484,0.103821,0.0
G_s3_alpha_single_2026-08-19_1787150186,2026-08-19,G,,single,alpha,,steering,1,2,rest,attention,right,0.742762,0.635881,1,1,1,0.829385,,,,27.840405,4.71478,0.294813,1.0
G_s3_alpha_single_2026-08-19_1787150186,2026-08-19,G,,single,alpha,,steering,1,3,rest,rest,left,0.056806,0.5,1,,1,0.839744,,,,2241.825798,15.512172,0.093759,4.0
