trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
0,rest,attention,left,1786955318.8611,1786955324.237192,1786955344.532252,20.29506,40,83.617235,11.426085,0.180923,2
1,rest,rest,right,1786955344.532252,1786955349.946293,1786955370.378298,20.432005,42,34709.259946,33.324253,0.119354,5
2,rest,attention,right,1786955370.378298,1786955375.657979,1786955396.101087,20.443109,42,593.312232,20.231957,0.152819,4
3,rest,rest,left,1786955396.101087,1786955401.149819,1786955421.31586,20.166041,39,74574.950056,22.260088,0.114325,5
4,rest,attention,left,1786955421.31586,1786955426.428473,1786955446.475742,20.04727,39,116.379443,14.534506,0.096562,2
5,rest,rest,right,1786955446.475742,1786955451.883431,1786955472.316579,20.433148,42,146.099706,14.948517,0.115424,3
6,rest,attention,right,1786955472.316579,1786955477.585129,1786955498.004035,20.418906,42,83.754688,17.005047,0.109968,2
7,rest,rest,left,1786955498.004035,1786955503.046689,1786955523.165231,20.118542,39,4968.332055,26.379198,0.053373,6
8,rest,attention,left,1786955523.165231,1786955528.214074,1786955548.408104,20.19403,39,187.484246,15.714569,0.126832,3
9,rest,rest,right,1786955548.408104,1786955553.796271,1786955574.179379,20.383107,40,417.582925,15.9122,0.100203,7
10,rest,attention,right,1786955574.179379,1786955579.513429,1786955599.515335,20.001906,41,59.836749,8.851049,0.215865,2
11,rest,rest,left,1786955599.515335,1786955604.794924,1786955624.919016,20.124092,40,12149.079092,23.05284,0.164075,6
12,rest,attention,left,1786955624.919016,1786955630.082806,1786955650.336865,20.254059,40,174.511036,15.663937,0.121784,3
13,rest,rest,right,1786955650.336865,1786955655.732118,1786955675.852775,20.120658,40,3676.588095,14.304573,0.158464,4
14,rest,attention,right,1786955675.852775,1786955680.965364,1786955701.09097,20.125607,42,100.90823,17.589541,0.106455,3
15,rest,rest,left,1786955701.09097,1786955706.213038,1786955726.332452,20.119415,42,2147.285572,9.735772,0.127753,8
16,rest,attention,left,1786955726.332452,1786955731.466308,1786955751.839165,20.372857,40,14210.076422,5.507126,0.236539,7
17,rest,rest,right,1786955751.839165,1786955756.876555,1786955777.065522,20.188967,39,262039.638649,13.352092,0.176635,7
18,rest,attention,right,1786955777.065522,1786955782.352258,1786955802.362908,20.01065,41,109.919461,10.617776,0.15568,2
19,rest,rest,left,1786955802.362908,1786955807.64013,1786955828.047897,20.407767,42,22438.534823,20.30712,0.085535,6
20,rest,attention,left,1786955828.047897,1786955833.105457,1786955853.314662,20.209205,39,81.212506,12.208391,0.09959,1
21,rest,rest,right,1786955853.314662,1786955858.391445,1786955878.453377,20.061932,39,86340.467095,17.179148,0.10399,8
22,rest,attention,right,1786955878.453377,1786955883.85661,1786955905.19757,21.34096,42,121.151822,14.254235,0.119117,3
23,rest,rest,left,1786955905.19757,1786955910.248755,1786955930.465455,20.2167,41,146.403752,12.505375,0.144312,3
24,rest,attention,left,1786955930.465455,1786955935.795393,1786955955.816631,20.021238,39,144.692473,13.527774,0.125266,2
25,rest,rest,right,1786955955.816631,1786955961.114943,1786955981.427273,20.31233,40,18969.087717,26.30272,0.10771,6
26,rest,attention,right,1786955981.427273,1786955986.715566,1786956007.170813,20.455247,40,166.926745,11.849449,0.127791,3
27,rest,rest,left,1786956007.170813,1786956012.271711,1786956032.414443,20.142732,41,4094.234439,23.655987,0.094832,6
28,rest,attention,left,1786956032.414443,1786956037.715078,1786956058.082048,20.36697,42,99.958851,11.894542,0.113118,1
