session_id,date,subject,subject_b,device_mode,metric,electrode,roles,run,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,clean_switch,is_blink,latency_ms,mean_alpha,mean_tbr,mean_ei,blink_count
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,16,rest,attention,left,0.64363,0.604524,-1,1,0,0.837238,8.531189,0.856649,0.933032,0.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,17,rest,rest,right,0.311708,0.524943,-1,,1,0.784103,37.907068,1.428649,0.773062,2.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,18,rest,attention,left,0.5567,0.572705,-1,1,0,0.814615,9.668704,0.966682,0.700721,0.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,19,rest,rest,right,0.472782,0.567671,1,,1,0.820209,149.530598,1.050754,1.183334,1.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,0,attention,rest,left,0.030713,0.5,1,,0,0.86359,12.783482,6.447175,0.667526,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,1,rest,rest,left,0.0,0.5,1,,0,0.835368,32.51843,3.397121,0.460687,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,2,attention,rest,left,0.149282,0.512487,1,,0,0.833302,17.535979,3.151482,0.689786,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,3,rest,rest,left,0.0,0.5,1,,0,0.877628,40.956668,2.280973,0.536074,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,4,attention,rest,left,0.116833,0.505284,1,,0,0.879385,12.282408,4.301885,0.432893,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,5,rest,rest,left,0.0,0.5,1,,0,0.84541,25.735848,1.147949,0.752223,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,6,attention,rest,left,0.202416,0.50944,1,,0,0.809,9.482369,1.111109,0.727205,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,7,rest,rest,left,0.0,0.5,1,,0,0.826256,24.309001,1.344888,0.620472,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,8,attention,rest,left,0.125281,0.505236,1,,0,0.867846,7.457935,1.517806,0.598947,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,9,rest,rest,left,0.0,0.5,1,,0,0.81559,36.814081,1.458468,0.791035,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,10,attention,rest,left,0.010224,0.5,1,,0,0.836186,15.969923,1.037978,0.796776,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,11,rest,rest,left,0.0,0.5,1,,0,0.777279,32.081556,2.034491,0.446071,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,12,attention,rest,left,0.007182,0.5,1,,0,0.828,14.897413,1.028343,0.920932,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,13,rest,rest,left,0.0,0.5,1,,0,0.816436,29.70924,2.440423,0.398988,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,14,attention,rest,left,0.078347,0.500731,1,,0,0.80707,12.712378,1.447942,0.707356,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,15,rest,rest,left,0.0,0.5,1,,0,0.787738,23.015496,1.995952,0.537248,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,16,attention,rest,left,0.013913,0.5,1,,0,0.814821,12.12061,2.696655,0.503833,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,17,rest,rest,left,0.0,0.5,1,,0,0.864179,187.891569,4.235551,0.594817,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,18,attention,rest,left,0.019576,0.5,1,,0,0.875119,11.364586,1.487579,0.543854,0.0
W_s17_alpha_single_wet_2026-08-19_1787164357,2026-08-19,W,,single,alpha,wet,speed,1,19,rest,rest,left,0.0,0.5,1,,0,0.820907,261.660455,4.99999,0.567805,0.0
W_s18_tbr_single_wet_2026-08-19_1787165067,2026-08-19,W,,single,tbr,wet,speed,1,0,attention,rest,left,0.082989,0.500564,1,,0,0.897513,7.831577,1.279494,0.595082,0.0
W_s18_tbr_single_wet_2026-08-19_1787165067,2026-08-19,W,,single,tbr,wet,speed,1,1,rest,rest,left,0.0,0.5,1,,0,0.832692,42.948285,7.106872,0.197724,0.0
W_s18_tbr_single_wet_2026-08-19_1787165067,2026-08-19,W,,single,tbr,wet,speed,1,2,attention,rest,left,0.083679,0.501363,1,,0,0.808595,7.240673,1.472862,0.558122,0.0
W_s18_tbr_single_wet_2026-08-19_1787165067,2026-08-19,W,,single,tbr,wet,speed,1,3,rest,rest,left,0.001155,0.5,1,,0,0.855791,15.840443,3.156278,0.461588,0.0
W_s18_tbr_single_wet_2026-08-19_1787165067,2026-08-19,W,,single,tbr,wet,speed,1,4,attention,rest,left,0.043317,0.5,1,,0,0.824256,8.367028,1.410527,0.51596,0.0
W_s18_tbr_single_wet_2026-08-19_1787165067,2026-08-19,W,,single,tbr,wet,speed,1,5,rest,rest,left,0.0,0.5,1,,0,0.880316,13.9781,3.400948,0.293697,0.0
W_s18_tbr_single_wet_2026-08-19_1787165067,2026-08-19,W,,single,tbr,wet,speed,1,6,attention,rest,left,0.105811,0.508798,1,,0,0.842744,9.689388,1.650465,0.497307,0.0
W_s18_tbr_single_wet_2026-08-19_1787165067,2026-08-19,W,,single,tbr,wet,speed,1,7,rest,rest,left,0.0,0.5,1,,0,0.92193,21.06392,3.278862,0.407257,0.0
W_s18_tbr_single_wet_2026-08-19_1787165067,2026-08-19,W,,single,tbr,wet,speed,1,8,attention,rest,left,0.081377,0.500255,1,,0,0.848974,9.362701,2.143292,0.559407,0.0
