session_id,date,subject,subject_b,device_mode,metric,electrode,roles,run,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,clean_switch,is_blink,latency_ms,mean_alpha,mean_tbr,mean_ei,blink_count
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,5,rest,rest,left,0.01194,0.5,1,,0,0.874619,68.950961,15.78403,0.198615,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,6,attention,rest,left,0.062728,0.50014,1,,0,0.801595,41.870068,7.992912,0.211042,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,7,rest,rest,left,0.015049,0.5,1,,0,0.84825,265.104592,22.624333,0.10279,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,8,attention,rest,left,0.022041,0.5,1,,0,0.866675,43.095227,7.28694,0.182706,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,9,rest,rest,left,0.020725,0.5,1,,0,0.809756,9414.640471,50.255965,0.067638,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,10,attention,rest,left,0.082327,0.506496,1,,0,0.856366,432.467048,9.203761,0.243168,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,11,rest,rest,left,0.0,0.5,1,,0,0.840333,144.812306,20.078287,0.077355,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,12,attention,rest,left,0.030034,0.5,1,,0,0.845564,25.029744,5.300281,0.208781,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,13,rest,rest,left,0.0,0.5,1,,0,0.856786,368.368303,27.048049,0.099308,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,14,attention,rest,left,0.150366,0.505225,1,,0,0.899738,29.478528,4.753994,0.245947,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,15,rest,rest,left,0.0,0.5,1,,0,0.852205,21785.912103,53.563174,0.059161,0.0
